review_id,product_id,review_title,review_body
531977,B00HGY9TGO,Excellent immune system booster!,"I have been researching the benefits of Turmeric for quite a while and for a few years I really tried to get more of this spice into our daily diet, but it is really tough to eat enough of it to reap all of the health benefits that Turmeric has to offer, detoxification, improved skin, reduced inflammation, strengthened immune system... and so much more!  This supplement is a daily part of our routine and we love it."
1004881,B00AA87JGU,"Good, but...","I love the game, but I hats that you need to spend so much money. There such be a way to win coins in the game."
3749894,B000OQMHEC,Terrible,All it does is scrape and pit your battery terminals - I really don't see the point of getting this tool. Scotch-Brite sponge would work better to clean the battery terminals.
542096,B004DLNC4I,Misleading,"I was so excited to try this out but the only way I could have access to what I wanted, I found I had to pay. So much for free."
1697801,B00004Y8CK,Heavy duty Master Locks.,These heavy duty locks are just an example of the high quality Master Locks make. I would highly recommend them.
655267,B005UDD1R6,no hardware acceleration support,To get h/w acceleration support you have to buy the full version. This will play all HD videos in slow motion.
1882693,B005LAZOZU,Perfect song,"I've heard thousands and thousands of songs in my life. This is one of the best. Once the chorus kicks in, you're hopelessly hooked."
185724,B00GOKACLC,Very happy with this case,"The colors are just right if you like simple with no bling to it ,and it has a great grip to it . Just use a dime or your nail to take it off. My litteLe girl loves it . Great give for younger girls.... :-)"
1413439,B001AZ7RZ0,protector,the is for a ds and it protects it from accidental droppage and short  drops.i would get this again if needed.
3755134,B002MQCY7C,Works great on all my helmets.,"I have this clip on all of my family's helmets.  Two for my Harley, one for my 4 wheeler, and one for my 7 year old.  It fits well, holds well, and way more convenient then the loop strap."
3638444,B000OSIJ10,Not worth the money.,"Every time I buy one of these things for our cats, they always decide that our couch or our wall is better to utilize for scratching.  I will never buy a scratching post ever again.  Actually, we just adopted older cats that were already declawed.  THAT IS HOW I PLAN TO DO IT FROM NOW ON.  Adopt cats that are already declawed.  I noticed that any/all cats listed as declawed were adopted very, very quickly.  Others must also understand."
3691677,B003Q6AG9K,Low Quality,So loud it is probably getting returned.  The cats are more interested in the grinding plastic sound.Also the slowest speed is not slow enough.
266739,B000NP79YM,Soft enough to sleep in,I needed an item to be able to sleep with as my wife likes to sleep with noise.  This item worked perfectly and I even use them for other activities like riding my motorcycle.
3381764,B005NFJAWG,Exceedingly bad quality disks,"The disk quality is very bad. Most of the disks have flaws. Unfortunately, I did not play them immediately after receiving them; so, I missed the return window. I could not in good conscious donate them as someone else would end up paying for junk. I threw the set into the garbage."
3755298,B002OUMVWY,Wish I could say I love it but it IS A SEWER HOSE...,"Much better than the hose that came with the camper. More than I expected for the price! If you need one, this is a good one!!!"
1760086,B001H1JJK8,This is a Great Idea,This is the first one I purchased and intend on buying more. Way better than night lights all over the house. Works great with a nice white light. Highly recommend!
1284880,B00JGUI66A,always restarts,Every time I go and attack someone's base and get money it never saves the money and I end up spending money on troops but having it wasted because the camembert saves my money
670119,B0060I3IJG,fav time killer,this is great to kill time. I've found tons of great things on here. I love it. I have my sis to thank for telling me about it.
1308400,B0000296O5,The Next Chapter In The Final Fantasy Saga Is Here!!!,"When people play a Final Fantasy game they expect several things to come out of the finished game!  For one thing a great story, great charicters, cool battle system, drama, comedy, and greatness, cool graphics, and overall a great game!  That said and done Final Fantasy VIII is the worst example of how to make a great RPG!  When a great RPG company like Squaresoft, who been making the best RPG's for years now, comes in and makes a game, people expect it to be great!!!  Esspecally if it's a Final Fantasy game!  Well let me tell you that Final Fantasy VIII is anyting BUT a great RPG!!!  In fact this game is so pooryly thought out I am at a loss of words!  I'm sure you've already herd complaints about the complicated battle system, cumcumber (And glitched) plot, and lack of charicter developement!  So I'll spare you the details for once!  Lets just say Final Fantasy VIII not only gives the Final Fantasy series a bad name, but it also gives RPG's as a whole a bad name!  Thank you.  Have a nice day!"
2734051,B0002W4SX6,Classic,"Heart warming, good, clean fun, with iconic actors as the regular cast and as visitors of single episodes. Cozy, timeless."
1425710,B001TOMQVC,Not Just Another Rail Shooter,"Dead Space: Extraction is an on-rails shooter that functions as a prequel story to the acclaimed PS3/360 shooterDead Space. When an outbreak spreads across Aegis VII that turns the population of the colony into bloodthirsty Necromorphs, you lead a band of survivors to safety on the starship Ishimura. Only, it turns out the Ishimura is experiencing an outbreak of its own.The Wii has played host to a rail-shooter revival, and gamers interested in that old school, arcade experience have several fine options to choose from, includingHouse of the Dead: OverkillandResident Evil: The Darkside Chronicles. Dead Space: Extraction is another strong addition to the list, offering up several key design changes that keep the formula from getting stale.The first notable difference is that the game places a heavy emphasis on narrative. You don't simply load up the levels and start shooting - you'll converse with the characters from a first-person perspective, figure out what needs to be done and move out towards your objectives. Enemies will attack in bursts (much like your typical survival horror game), and then you'll get a bit more narrative, sneak around more corridors and sewers, fight some more, and repeat. Developer Visceral Games has opted to create a slow-burning, immersive experience over the loud, relentless hammering of its genre counterparts. So you won't always be poised with your finger on the trigger, but you'll get to know your fellow survivors and feel like you're part of their world. The story tosses a few twists at you, including switching up perspectives (surprisingly, not everyone you play as makes it out alive). In all, the story elements expand each level's playtime significantly, so be prepared to drop upwards of half an hour on certain segments of the game.The action in Dead Space: Extraction builds gradually - Necromorphs will come at you in manageable waves early on, but by the end of the game you'll be swarmed by a variety of foes at different speeds, some lobbing projectiles, some flying overhead. Your ammo, with the exception of your default weapon, is limited to what you pick up, so you'll need to pick your shots carefully as you dismember your opponents limb by limb (popping a Necromorph's head only encourages them to swing at you recklessly). I like the challenge, but some sections almost border on unfair with the projectile-shooting enemies obscuring themselves at the far end of a level while a bloated Necromorph explodes to unleash little starfish which you have to shake off with your wiimote (possibly the most annoying enemy in the game). For such a story driven game, a few moments stretch credibility as your player stands and fights while a retreat would be more appropriate. To help you in disposing of enemies, you'll have access to a stasis beam which lets you freeze enemies, and collectable upgrades add to your overall firepower. Other touches Dead Space: Extraction adds are more interaction with the environment. You'll be opening doors, soldering connections together to override computers in a pointer-based mini game, grabbing and launching objects with a kinesis beam and riveting objects together (often to barricade yourself against approaching enemies).Where does the game fail? Even with it's lengthy levels, the overall experience is a tad short. There are only 10 missions, with the last one feeling slightly anti-climactic by the lack of a true boss monster. You'll open up challenge levels for score rankings, but otherwise you won't find extra story missions or the breadth of goodies the Resident Evil and House of the Dead games have offered (an unlockable motion comic is a nice bonus, but isn't terribly compelling to sit through). Worst of all, the game seems prone to bugs and crashes. In one section my character refused to move on after clearing a hallway of enemies, and in the last level the game crashed during the final cutscene (forcing me to start over).Unfortunate glitches aside, Dead Space: Extraction still remains a top-notch game for the console. With so many shooters opting for ""quick time events"" and placing players on linear paths to create a ""cinematic experience"", it seems the genre is sliding towards rail-shooters anyway. Dead Space: Extraction finds a great balance where a lack of free movement doesn't equate to a dumbed-down experience."
3744305,B0007RDVD4,PowerBall YES,This is a great produce for polishing up those special auto rims. The job is made simple with this product and Mothers Mimi Ball is a must.
1703443,B00009LI4K,Peltor H10A earmuffs,I am well pleased with the ear muffs. They appear to be well made . I have used them often and like the way they block loud sounds but I am still able to hear if someone speaks to me.
3750675,B000WJ64O0,Does not fit 2012,"I see that no one has left a review in a while, so they no one may  have ordered for a 2012.I ordered this for my 2012 JK and it does not fit. The circumference for the steering wheel was right but I assume the ""thickness"" of the steerng wheel has changed as this does not cover the steering wheel correctly (front to back) and I had to remove and return..."
1734560,B000LNODSQ,Horrible!!!!!,"It was absolutely impossible to peel one or two cords long enough before it broke.  It was very difficult to work with, but I thought I'd try.  So I wound up piecing the broken cords together and put them around my window.  Within a week the window was damp, from condensation, (which is what I was trying to avoid by using the cord) and the ""caulking"" began to fall off, as it was no longer ""sticky"".I took it all off and threw it away.  Next Fall I'll be purchasing something else to go around my window."
1840177,B000002OF7,so/so,"despite the importance of this group think r.kelly.jodeci,mary j bliege,dru hill,etc.. this album is not on par with the first disc.teddy is a great producer but a bad vocalist.he nearly ruined long gone.Aaron hall  sounded strong.he hasn't had anything that has matched his guy days but his  influence has continued.the grooves slipped on this disc.but the slow jams  held up such as lets chill.hopefully the new one will get it right.however  this disc is still better than blackstreets last one by a 100%."
1301531,B003B01QL8,Made in the USA!,These are great strings and were my favorite until I found Fender Pure Nickel strings.  Some may like the sound of these some may like the Pure Nickel
1529940,B00DE2W5XG,Two faulty units in a row.,"Currently awaiting my second replacement PS4 from amazon, with my original and first replacement being faulty. I have lost faith in Sony, as going through 3 PS4s in 2 weeks is shameful on their part. The quality of these systems and the quality control going into them seems like a far cry from systems of the past, and it's very disappointing and discouraging with what consumers like myself are going through.I'd advise anyone wanting a PS4 to wait it out for some months until Sony can iron out these problems. Even though I love video games, I don't think any product is worth this much trouble."
1166656,B00DYTKKGI,what the hell! !!!,I just waste 1.99 on the pro kit to unlocked then 3.99$ on my card but still did not work then I try again and took more money off my card so angry! !!!!!! like fix this game! it a scam to steal your money! !!!! my daughter is dissapiont and so am I!!!!!! I only have 10$ left on my card now I'm calling them tell them the problem or remove this stupid thing!
618134,B0050JO4OY,sick!!!,this is just plain sick!!!!! why would would any one want to pay for the full version. this is bad enough and its free!
397177,B003LJAFY8,Addictive,"I found this on sale at a local health food store -- wow. It's delicious! I like that it's peanut-free and that the jar is upside down for easier stirring. Yes, it is expensive and so are organic nuts so I'm not too shocked now that I understand the ingredients.I'm very happy to have found this yummy product."
1647745,B00535HCI0,the ones I got were stale,"Usually I get these from Wallgreens where they come in smaller packages and are very well sealed and very fresh.  The product gets a four star vote because of that minus the one for the freshness.I recently purchased these again from the drug store and I have lowered my rating for this item accordingly.  The freshness is very important.  From the drug store they get a 5 star, so it is not the product but the seller that matters."
1295888,B0002F7K7Y,Five Stars,The best strings i've ever had so far miles above ernie ball strings
1792387,B004U4S7UC,Handy for the saw,I bought this with a power miter saw and didn't want to fight using the saw and try to utilize a table top. Stand works well with saw. I don't know why I thought it had extensions on the ends for long lumber. I may have just got different items mixed up when I was shopping around.
1588520,B001EQ55RW,"Sorry, I didn't agree with y'all","These fell short on flavor, sweetness, and satisfaction. As other reviewers have mentioned, they do have a bit of an after taste too.  Trader Joe's are way better and at a much better price.For those that absolutely want less calories and low sugar they would get you by, but for me, I'd rather have a little less of something really good."
1335393,B00006FWTX,This feeds some sort of inner need...,"Maybe it's my genetic disposition towards knick-knacks, or maybe it's my affection towards open-ended game structures, but whatever it is, Animal Crossing has hit me hard.This game provides a large amount of innovation, both in game design and game philosophy.The game is set around a Sims-like goal: do what you like. You live in a small town, with an ever evolving collection of surprisingly sassy villagers, and you decorate your house, go fishing, or fossil hunting, do some weeding, write letters, etc.The games two main focal points are things and relationships. And it's extremely addicting.Perhaps the most interesting aspect of the game technically is it's 24 hours-a-day game cycle. The game itself runs on an actual calendar and clock. Need to sell some fish? Too bad, it's midnight, and the local store is closed. Is it 5 o'clock? Maybe you can go chat it up with the mailman. The seasons change, and holidays, both made up and actual, occurr, as well as random events that can pass you by, if you are not careful.Everything about this game is designed to pull you in for just 10 more minutes, ala Diablo, minus the killing part. Picture Diablo, but just the stuff part, and Deckard Cain as actually being worth talking to."
3641296,B000RWH18U,didn't kill fleas but did stink up the place,This stuff gave my dog an icky neck but it didn't kill fleas or even bother the fleas. It smelled up the house. The remaining ones are going in the trash.
3749689,B000NCOKZQ,Not needed yet,I purchased this harness with a 2 position battery tender thinking the tender wouldn't come with 2 connectors. I was wrong and the tender came with 2 connectors. This is exactly the same as the OEM ones and I have not needed to use it yet.
3756006,B00353PWAW,"Good, but not a replacement for real waxing.","I've been using Meguiar's Wash and Wax on my Corvette for years, and it's a good wash for cars. It produces a lot of suds without using a whole lot. In fact, I find that less is better than more. If you use too much, it can leave a slight film on your car from the wax which is especially noticeable on dark vehicles. If it happens though, it is easily removed by wiping with a good polishing cloth. Meguiar's Wash and Wax is also not really a good substitute for an occasional real waxing. It is good to extend the period of time in between waxings.""Meguiar's Wash and Wax"" cleans well, and its hybrid blend of waxes offers a little bit of extra protection. As long as you don't use too much, and don't substitute it for an occasional real wax job, I recommend it."
3748987,B000IE0YIQ,Terrible design,"I was looking for a small air compressor to fill basketballs, bike tires, car tires, etc.  This compressor works fine but it has to be one of the worst designed products I've purchased in recent memory.  The power cord is about 12"" long, as is the air tube.  Who thought that was a good idea?  Meanwhile, there's about 50' long cable for the 12V adapter.  This actually makes more sense but since I'm not using the 12V it just gets in the way.  Of course, you can store the 12V cable in a nice little storage space in the unit...except that's where they decided the put the power switch!  Are you kidding me?  The power switch is located deep inside some hole in the back of the unit?  Are the designers insane?  I'm stuck with this thing but you might want to look elsewhere."
1581209,B001D3K2GA,"Got Wrigley's Winterfresh instead of Extra Sugarfree, Winterfresh","Although the package label says Extra Sugarfree Gum, that is not what is in the package.The package contains gum with sugar.  It is Wrigley's Winterfresh which lists sugar as the first item in the ingredients."
65165,B0060RBZA6,JLab J6 series single earbud earphone with mic,"the low price on Amazon is amazing. These are comfortable, come with many extra ear buds, and a handy carrying case. the sound is good. I use them mostly for watching DVDs while resting in bed. Just wish that these came in an &#34;invisible&#34; color like clear, silver or flesh tones."
2991962,B000VZADR4,ho hum biopic,"**1/2In 1963, Hector Perez was already a promising young singer in his native Puerto Rico when, at the age of seventeen, he moved to New York City to try and make a name for himself as a performer there.  In no time flat, he was playing in clubs, had signed a lucrative recording contract with the Latin-flavored Fania Records, and had changed his name to the far more exotic-sounding Hector Lavoe.  From the mid-1960s to his death from AIDS in 1993, Lavoe was an international sensation who helped to popularize the musical style known as ""Salsa.""  But, as with most artists, he lived a life of self-destructive self-indulgence, marked by serial philandering and hardcore drug abuse.  He also had a volatile relationship with ""Puchi,"" the Bronx girl who became his wife and who narrates ""El Cantante,"" the glossy movie about his life.Despite the novelty of the milieu and an undeniable sincerity on the part of everyone involved in its production, ""El Cantante"" remains doggedly conventional, lackluster and superficial in its treatment of the kind of material with which we are all too familiar from previous biopics that have chronicled the rise and fall of artists of all categories and stripes.  Marc Antony brings a certain ferocity and depth to his portrayal of the struggling celebrity, but real-life wife Jennifer Lopez is all fluttery overacting as the woman who stood by her man through good times and bad (mostly bad).  The music is enjoyable, but I'm afraid we've all been down this road so many times before that ""El Cantante"" fails to stir either our passions or our sympathy for the sadly benighted couple and all that they're going through.  You'd be better off buying the albums instead."
3747092,B000CINVA6,No cheaper protection anywhere,"Forget about fluorocarbon based lubes. I use this to lube the trip blade on my plow and it stands up to getting washed off. Yes it's ugly, but it gets the job done.Actually lasted longer than the $14.00 super duper lube I tried."
3605952,B0002IEYIE,contains parabens,I won't use paraben products on myself! My two doggies are my family I Will NOT use them on my pets either!
904530,B008PPGFZG,Blah,"Okay, so if you just want to browse,like,comment,and follow, okay app. NOT AN EQUIVALENT TO INSTAGRAM. As equivalent refers to equality, it's not. Firstly make sure you have an account first cause you can't create one with this, and secondly/more importantly you CAN'T upload/share photos, don't know why, they need to fix it. Also, for some reason it won't let me give feedback, it just keeps saying no symbols allowed in messages, even when there was no symbol. Please Outclick Labs, make an update that allows us to upload/share from our Kindle!!! NOT WORTH $2.99 barely worth the space on my tablet."
2888057,B000GCFO08,"Zzzzzz... *snort* what, what, is it over yet?","In horror movies, there are several different rating factors.  Sadly, the only one this rated highly in is the one you don't want to: the cheese factor.  Mediocre acting, boring and unrealistic special effects, some hard-to-hear (perhaps mercifully) dialogue and over-the-top 'mood music' are enough to render this movie nearly unwatchable.  Plus the overall darkness of most of the scenes (a trend in horror movies these days, I suspect to cut back on special effects budgets) means that even if you watch the movie in the dark you're still squinting at the screen.I found it sadly lacking in plot (okay, it had one, but not a good one - it was trite and recycled) and with almost no suspense to speak of.  I didn't care what happened to the characters.  At one point I was willing to off the main character myself if it'd just stop her shouting.  Of course, this could be because the sound swung wildly from barely audible to bursting your eardrums.  It had a few moments that might have made you jump, were I not overwhelmed with apathy (for instance, the scene with the nurse corpses would have been jumpy, except I spent the time thinking how much it would have improved the movie if they'd busted out into the Thriller song and dance).  It had no lasting, nightmare-giving spook effect (though I admit to being a hard-core horror movie veteran, it would take a lot).I was even willing to give it credit in that it lacked the gratuitous gore that movie-makers now think is a good substitute for real horror, but then the end of the movie was showers of blood and unnecessary gore, which added nothing and took away any brownie points it may have earned in that arena.The only redeeming factor in the entire movie was the very end.  I'll give it a little credit there for not taking the easy route and leaving you with a little lingering air of mystery.  But that wasn't enough to even come close to tipping the scales against the mountain of badness that had accumulated.  Bottom line, on a scale of one to five popcorn bags this movie rates a fossilized chunk of popcorn you find under your couch."
3751091,B0012WHBSO,Good Product,More than enough to fill out truck and car tires.  I don't think the gauge is very accurate; I always use a second gauge to get an accurate reading.
3759741,B006R34PB4,The trunk is no longer a dark and scary place.,"Trunk and cargo area lights seem to be an afterthought, almost as if car-makers are saying ""Throw a low-wattage fixture back there and we'll have one more 'standard feature' to pad the list in the brochure.""  That all changes when you plug in these li'l chunks of the Sun. Because of their extra length, they're particularly suited to horizontal installation as in dome, trunk and cargo lights.  If you can plug them in and they fit the enclosure, they're perfect for many cars made within the past 10 years and beyond like the trunk light in our 2004 Honda Civic sedan and the cargo light in our 2013 Subaru Impreza hatchback.  The pure white light complements the LED dome and map light bulbs we installed, spreading that white-hot LED bling into the dark forgotten regions."
1830238,B0000025YM,ANOTHER SELL OUT,"There's no shame in PRIEST releasing this album. If their only option was to sell out, use puffy hair and thing like that, they even managed to release a stisfactory pop-metal album. I must remember you that this was not a &quot;phenomenom&quot; that occured only with the mighty Priest, during the middle eighties: it also happened with SAXON, SCORPIONS, MICHAEL SCHENKER, RAVEN, ACCEPT, and other greta European bands, who tried hard to &quot;make America&quot;. In Judas case, they had already &quot;made America&quot; with their previous albuns, but probably greedy executive men made up their minds about selling out and making even more money. So, in DEFENDERS OF THE FATIH we have the first clear signs of what we should have to endure with the release of the &quot;great&quot; TURBO.."
1297871,B000A6GTDG,Very disappointed with the seller (Amazon.com LLC),"I am very disappointed. The guitar was packed with its strings tensioned and the top detachment partially from the guitar body.It is unusable until repaired.Update: It has been several days after writing and attach photographs to the seller (Amazon), and have not received any communication."
1722500,B000CPJLE4,Great Dry Lube.,Use on my RV slide out rack / gearing hardware for periodic lubrication. Drys clear and no sticky residue - recommended.
1380919,B000JHO4L0,One of the best,"I purchased this unit when it first came out. I wasn't disappointed with it. The HD DVDs look fantastic. It has crystal clear sound with a beautiful picture. The added HD DVD King Kong is a nice plus along with the remote. This unit installed in seconds. I am not to sure about the whole up-converting regular DVDs. The regular DVDs look the same (yes I have the VGA wire). This is a nice add on for anyone who owns a HD TV and an Xbox 360. I love the fact that a lot of HD DVD come with DVD format. So if you buy an HD DVD and your friend doesn't have an HD player, you can use the regular DVD player to watch the movie. This is a great value. If you have any questions about this unit you can leave a comment and I'll reply as soon as I can."
758928,B0074OZ29O,Dont waste your time and space,I found this app through Go Nuts which I love. I have a kindle fire like many people here. It wont let me watch past the intro. It wont let me play the game at ALL. It just automatically logs me out. Looks cute though but have to give 1 star since I cant play.
1294909,B0002DV7U2,Choose something else,It is not the size for mini guitar. May be for the big one...Connections are shaky. You will surely notice that the quality is toooo low.
426074,B004MKFY3W,messy and painful,"I have used wax strips before, so I didn't think it would be painless, but this was horrific! The wax is so gummy that it won't pull off quickly and cleanly. It tugs and sticks. Also, the included wipes are useless. They are like wax paper with oil on them. I tried to use one, and it was even more of a mess than the wax was. I will go back to using the Sally Hansen brand."
1297600,B000960KNW,Horrible Design - Friction backs out mounting screws,"Our family of 2 guitarists and 1 bassist switched to these style locks about a year ago.  Every one of us has had continual problems with the locks periodically unscrewing themselves from the guitar body. I had one back out during a gig and damage a brand new 60th Anniversary American P-Bass...not good. My son had one come out on him in the middle of a gig last weekend.The problem with the design is there's a ton of friction between the top and bottom pieces of the lock which results in the tab that's screwed into the body unscrewing itself.  We've tried applying bar soap, petro jelly, and a spray can based dry lubricant.... none of which prevented the ultimate forces that cause this phenomenon.We are switching to the Dunlop style locks as that design incorporates ball bearings which allows the strap to rotate freely back and forth with next to zero 'unscrewing' force.We tried to make the Shallers work but just could not.  Maybe we're all too active on stage but we cannot tolerate the equipment damage nor the performance distruptions these have caused us."
3730584,B008SJ1H7A,"Inaccurate, your fish WILL die if you use this","Opened it, put it in my tank, it said the water was 83 degrees.  WTF.  My A/C is on full blast.  My other non digital thermometer is showing 79 degrees.  If I based my tank parameters on this, my fish will be cooked.  Useless piece of junk.  Waste of money to even send it back.  DO NOT buy this crap."
1840585,B000002OQ6,Pretty good,"This is a good album from Elton and friends. Most of the songs are not Elton/Bernie compositions though, but that doesn't really matter. While most of the songs and performances are good, there are a couple of weak parts. On &quot;Teardrops&quot; k.d.lang sounds more like a background singer than a duet partner. And I could do without the RuPaul track, but otherwise its an ok album. Most fans of Elton's, I'm sure, would want this album in their collection."
3659033,B001CQTOMG,"Sturdy, pup likes it","For some reason, my pup immediately loved this. On the first day I brought her home, she found it on the other side of the living room and jumped right on it. She also runs back to it during games of fetch. I'm not sure if it truly &#34;cools&#34; or &#34;warms&#34; her depending on the side, but it has a nice degree of &#34;stuffing&#34; to it which gives it about 2 inches of height. We've done some &#34;mat&#34; training with it. She also likes to rearrange her pen with it so it's light enough for a dog to &#34;make her bed&#34; and move it around. Pup started trying to rip into the light colored side of it at one point - she gave up after getting some small tufts off of it but the product looks the same and was apparently boring enough in this respect (in a good way) that pup wasn't tempted to try to rip it to shreds more than that one time."
1826535,B000001F6A,Great CD,"This is a great CD. It has some great rockers on it, ""Question"" being my all time favorite. It belongs in your music library."
